MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,0.5
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,1E-006
Trigger Point [%],48
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,200
Start Time,System.DateTime (12/03/2021 15:34:26)

Data:
Time,Channel 1,Channel 2
-0,0.170578,-0.018493653
1E-006,0.14903259,-0.016319275
2E-006,0.12942505,-0.013595581
3E-006,0.11637878,-0.010063172
4E-006,0.11035156,-0.0066909792
5E-006,0.10604858,-0.0028076174
6E-006,0.10202026,0.00031280496
7E-006,0.10270691,0.0041656492
8E-006,0.10690308,0.0076370237
9E-006,0.11453247,0.01058197
1E-005,0.13053894,0.012199402
1.1E-005,0.15213013,0.012359619
1.2E-005,0.1736145,0.01222229
1.3E-005,0.19148254,0.010612488
1.4E-005,0.20153809,0.0079269407
1.5E-005,0.20718384,0.0065460203
1.6E-005,0.21102905,0.0045623777
1.7E-005,0.21276855,0.0031585691
1.8E-005,0.2141571,0.0011520384
1.9E-005,0.21400452,-0.0012054445
2E-005,0.2036438,-0.0022354128
2.1E-005,0.18696594,-0.0022811892
2.2E-005,0.17056274,-0.0015716555
2.3E-005,0.15135193,-0.00010681173
2.4E-005,0.13334656,0.0029754637
2.5E-005,0.12327576,0.0055313108
2.6E-005,0.12246704,0.0078430174
2.7E-005,0.1190033,0.010375976
2.8E-005,0.11630249,0.012741089
2.9E-005,0.11595154,0.015678406
3E-005,0.12254333,0.017372131
3.1E-005,0.13742065,0.018547058
3.2E-005,0.15582275,0.017807007
3.3E-005,0.17538452,0.015785217
3.4E-005,0.19398498,0.013259887
3.5E-005,0.20639038,0.010086059
3.6E-005,0.21298218,0.0071334837
3.7E-005,0.21531677,0.0045242307
3.8E-005,0.21324158,0.0014648435
3.9E-005,0.21348572,-0.0016021731
4E-005,0.21188354,-0.0046920778
4.1E-005,0.2053833,-0.007247925
4.2E-005,0.18856811,-0.008987427
4.3E-005,0.16207886,-0.0083923342
4.4E-005,0.14303589,-0.0074234011
4.5E-005,0.1280365,-0.0065078737
4.6E-005,0.1197052,-0.0051116945
4.7E-005,0.11277771,-0.0032348635
4.8E-005,0.10801697,-0.0016555788
4.9E-005,0.10440063,0.00051879862
5E-005,0.10510254,0.0017776487
5.1E-005,0.10905457,0.0029144285
5.2E-005,0.11972046,0.0031661985
5.3E-005,0.14025879,0.0024642942
5.4E-005,0.15904236,0.0001296995
5.5E-005,0.17532349,-0.0031127932
5.6E-005,0.18638611,-0.0056304934
5.7E-005,0.19203186,-0.0090026858
5.8E-005,0.19708252,-0.01222229
5.9E-005,0.19914246,-0.015792847
6E-005,0.19802856,-0.019577027
6.1E-005,0.19621277,-0.02268982
6.2E-005,0.1897583,-0.025375366
6.3E-005,0.17094421,-0.026947022
6.4E-005,0.14997864,-0.027153015
6.5E-005,0.13049316,-0.025993347
6.6E-005,0.10893249,-0.024223328
6.7E-005,0.098617553,-0.022163391
6.8E-005,0.095062255,-0.020492554
6.9E-005,0.090927124,-0.018226624
7E-005,0.086151123,-0.015365601
7.1E-005,0.086456298,-0.01335907
7.2E-005,0.092895507,-0.011245728
7.3E-005,0.10673523,-0.010383606
7.4E-005,0.12521362,-0.010635376
7.5E-005,0.14389038,-0.01159668
7.6E-005,0.16227722,-0.013519287
7.7E-005,0.17672729,-0.01613617
7.8E-005,0.1824646,-0.018661499
7.9E-005,0.18234253,-0.020904541
8E-005,0.18670654,-0.023078919
8.1E-005,0.18885803,-0.02545929
8.2E-005,0.18957519,-0.027641297
8.3E-005,0.18161011,-0.029052735
8.4E-005,0.16490173,-0.030044556
8.5E-005,0.14743042,-0.028671265
8.6E-005,0.12728882,-0.02734375
8.7E-005,0.10986328,-0.024215698
8.8E-005,0.10006714,-0.021003723
8.9E-005,0.093307495,-0.017791748
9E-005,0.09109497,-0.014595032
9.1E-005,0.088592529,-0.011047363
9.2E-005,0.091308593,-0.007614136
9.3E-005,0.094772338,-0.0042037966
9.4E-005,0.1056366,-0.001754761
9.5E-005,0.12828064,-0.00069427511
9.6E-005,0.15040588,-0.0009918215
9.7E-005,0.16893005,-0.0020599367
9.8E-005,0.18243408,-0.0035858156
9.9E-005,0.19296265,-0.0057144167
0.0001,0.20022583,-0.0065307619
0.000101,0.20391846,-0.0086898806
0.000102,0.20225525,-0.010047913
0.000103,0.20280457,-0.011856079
0.000104,0.19973755,-0.012756348
0.000105,0.18460083,-0.013252259
0.000106,0.16390991,-0.011840821
0.000107,0.14169311,-0.0095748903
0.000108,0.12625122,-0.0063858034
0.000109,0.11793518,-0.0028228762
0.00011,0.11650085,6.1034945E-005
0.000111,0.11343384,0.0031890867
0.000112,0.10624695,0.0069503782
0.000113,0.1055603,0.010757446
0.000114,0.11338806,0.013427734
0.000115,0.12576294,0.015571594
0.000116,0.14512634,0.016174316
0.000117,0.16566467,0.016159057
0.000118,0.18702698,0.014495849
0.000119,0.20257568,0.012130737
0.00012,0.20922852,0.010025024
0.000121,0.21133423,0.0082550047
0.000122,0.21455383,0.0066452024
0.000123,0.22167969,0.0032196043
0.000124,0.22471619,0.00086975077
0.000125,0.21630859,-0.0018386843
0.000126,0.19914246,-0.0026245119
0.000127,0.17868042,-0.0020904543
0.000128,0.15719604,-0.0011138918
0.000129,0.13894653,0.0010375974
0.00013,0.12612915,0.0032272337
0.000131,0.12187195,0.005592346
0.000132,0.11846924,0.0080566404
0.000133,0.11546326,0.010360718
0.000134,0.11477661,0.012557983
0.000135,0.1148529,0.014541626
0.000136,0.12585449,0.015808105
0.000137,0.14851379,0.015296936
0.000138,0.17002869,0.013381958
0.000139,0.18855286,0.010276794
0.00014,0.20127869,0.0073928831
0.000141,0.20718384,0.0040740965
0.000142,0.21072388,0.001144409
0.000143,0.21170044,-0.0024871828
0.000144,0.21096802,-0.0052413943
0.000145,0.21105957,-0.0085372927
0.000146,0.20706177,-0.012092591
0.000147,0.19197082,-0.014030457
0.000148,0.16903686,-0.014801026
0.000149,0.14524841,-0.014564514
0.00015,0.1300354,-0.013122559
0.000151,0.11903381,-0.011947632
0.000152,0.11090088,-0.01008606
0.000153,0.10583496,-0.0082855227
0.000154,0.10043335,-0.0072021486
0.000155,0.0987854,-0.0046539309
0.000156,0.09941101,-0.0033645632
0.000157,0.10798645,-0.002182007
0.000158,0.12309265,-0.0022354128
0.000159,0.14373779,-0.0041656496
0.00016,0.16615295,-0.0069427492
0.000161,0.18067932,-0.010421753
0.000162,0.18615723,-0.012924195
0.000163,0.19010925,-0.016143799
0.000164,0.19416809,-0.020011902
0.000165,0.19699097,-0.023658753
0.000166,0.19641113,-0.026748657
0.000167,0.18876648,-0.029434204
0.000168,0.17739868,-0.031669617
0.000169,0.15652466,-0.032211304
0.00017,0.13273621,-0.031394959
0.000171,0.10990906,-0.029129029
0.000172,0.094940185,-0.026138306
0.000173,0.091156005,-0.023849488
0.000174,0.089004516,-0.021690369
0.000175,0.083953857,-0.018875122
0.000176,0.080047607,-0.015777588
0.000177,0.086593628,-0.013412476
0.000178,0.096527099,-0.011077881
0.000179,0.11505127,-0.010818482
0.00018,0.13687134,-0.011184693
0.000181,0.15431213,-0.012916565
0.000182,0.17045593,-0.014572144
0.000183,0.1815033,-0.017288208
0.000184,0.18676758,-0.019615174
0.000185,0.18746948,-0.021011353
0.000186,0.18887329,-0.023521424
0.000187,0.19342041,-0.025505066
0.000188,0.19012451,-0.027282715
0.000189,0.17546082,-0.027435303
0.00019,0.15470886,-0.026824951
0.000191,0.13395691,-0.024833679
0.000192,0.11737061,-0.022262573
0.000193,0.10595703,-0.019226074
0.000194,0.09739685,-0.015693665
0.000195,0.092941284,-0.011657715
0.000196,0.091186523,-0.0083541872
0.000197,0.092437744,-0.003959656
0.000198,0.095977783,-0.001098633
0.000199,0.10380554,0.0018310545

