MEphisto Scope parameters
Amplitude Channel 1,1
Amplitude Channel 2,0.5
Offset Channel 1,-0
Offset Channel 2,-0
Probe Channel 1,1
Probe Channel 2,1
Sampling Rate,0.01
Trigger Point [%],50
Trigger Channel,1
Trigger mode,Manual
Trigger Upper Level,-3.0518E-005
Trigger Lower Level,-3.0518E-005
Memory Depth,1000
Start Time,System.DateTime (12/03/2021 12:01:19)

Data:
Time,Channel 1,Channel 2
-0,0.1852417,-0.04347229
0.01,0.21318054,0.0032577513
0.02,0.26014709,-0.043319702
0.03,0.17672729,-0.0060272219
0.04,0.25543213,-0.039627075
0.05,0.24133301,-0.012619019
0.06,0.18070984,-0.041229248
0.07,0.26600647,-0.0024566653
0.08,0.18606567,-0.048027039
0.09,0.19848633,-0.0017242434
0.1,0.25930786,-0.050201416
0.11,0.16975403,0.0038681028
0.12,0.25553894,-0.046478272
0.13,0.24728394,-0.0062255861
0.14,0.18548584,-0.043670655
0.15,0.27230835,-0.0098648073
0.16,0.20339966,-0.04209137
0.17,0.19740295,-0.011703491
0.18,0.26766968,-0.039688111
0.19,0.16705322,-0.0029067995
0.2,0.24934387,-0.051765442
0.21,0.24145508,-0.0022888186
0.22,0.18243408,-0.055648804
0.23,0.26602173,0.0023193357
0.24,0.18412781,-0.046035767
0.25,0.20373535,-0.012969971
0.26,0.25985718,-0.04536438
0.27,0.17379761,-0.014022827
0.28,0.25979614,-0.046485901
0.29,0.24539185,-0.0034866335
0.3,0.18661499,-0.057510376
0.31,0.27624512,-0.0055694582
0.32,0.18771362,-0.052947998
0.33,0.20706177,-0.011245728
0.34,0.25485229,-0.059272766
0.35,0.17071533,-0.0074157717
0.36,0.24967957,-0.045394898
0.37,0.24020386,-0.0096282961
0.38,0.17575073,-0.051635742
0.39,0.27516174,-0.013809204
0.4,0.19216919,-0.051933289
0.41,0.20507812,-0.02583313
0.42,0.26203918,-0.055877686
0.43,0.17550659,-0.023017884
0.44,0.25793457,-0.060112
0.45,0.24208069,-0.018814087
0.46,0.18118286,-0.059585571
0.47,0.26785278,-0.019302368
0.48,0.19248962,-0.053337097
0.49,0.18963623,-0.018035889
0.5,0.25749207,-0.05381012
0.51,0.1690979,-0.020965576
0.52,0.25094604,-0.058166504
0.53,0.24275207,-0.024154663
0.54,0.18464661,-0.055038452
0.55,0.26852417,-0.026199341
0.56,0.19869995,-0.055244446
0.57,0.19577026,-0.029273987
0.58,0.26121521,-0.051727295
0.59,0.1656189,-0.03401947
0.6,0.24118042,-0.064056397
0.61,0.24081421,-0.021835327
0.62,0.17929077,-0.059799195
0.63,0.26177978,-0.027931214
0.64,0.19204712,-0.057373047
0.65,0.19091797,-0.035568238
0.66,0.26211548,-0.058761597
0.67,0.17004394,-0.029281616
0.68,0.25466919,-0.064689636
0.69,0.23953247,-0.024559021
0.7,0.18484497,-0.064575196
0.71,0.26675415,-0.018936157
0.72,0.17396545,-0.067115784
0.73,0.20545959,-0.031112671
0.74,0.24749756,-0.053695679
0.75,0.16461182,-0.02596283
0.76,0.25761414,-0.06476593
0.77,0.2180481,-0.025863648
0.78,0.18205261,-0.068237305
0.79,0.26712036,-0.019096375
0.8,0.16882324,-0.070518494
0.81,0.23513794,-0.027191162
0.82,0.24234009,-0.060127259
0.83,0.17347717,-0.033538819
0.84,0.25802612,-0.059333801
0.85,0.18730164,-0.039039612
0.86,0.19099426,-0.060272217
0.87,0.25216675,-0.023986817
0.88,0.16096497,-0.069274903
0.89,0.2545929,-0.029472351
0.9,0.21707153,-0.069442749
0.91,0.18196106,-0.038780213
0.92,0.25883484,-0.060913086
0.93,0.17585754,-0.042800904
0.94,0.21464539,-0.059867859
0.95,0.25027466,-0.030212403
0.96,0.17121887,-0.073013306
0.97,0.25683594,-0.035980225
0.98,0.20591736,-0.069877625
0.99,0.17216492,-0.033126831
1,0.25657654,-0.067855835
1.01,0.16249084,-0.032577515
1.02,0.21829224,-0.065559387
1.03,0.2444458,-0.041854859
1.04,0.17121887,-0.065582276
1.05,0.26409912,-0.052627564
1.06,0.20133972,-0.062942505
1.07,0.18096924,-0.040885926
1.08,0.25738525,-0.075057984
1.09,0.16014099,-0.038742066
1.1,0.24009705,-0.081710816
1.11,0.22595215,-0.032661438
1.12,0.17196655,-0.067993164
1.13,0.25331116,-0.047813416
1.14,0.17306519,-0.066635132
1.15,0.18655395,-0.048156738
1.16,0.24508667,-0.065620423
1.17,0.16012573,-0.047927857
1.18,0.25253296,-0.063728333
1.19,0.22085571,-0.03704834
1.2,0.17442322,-0.078613281
1.21,0.25933838,-0.035934448
1.22,0.16235352,-0.080665589
1.23,0.20521545,-0.039558411
1.24,0.23960876,-0.070251465
1.25,0.1578064,-0.052139282
1.26,0.24510193,-0.071861267
1.27,0.20960998,-0.052330017
1.28,0.16696167,-0.071052551
1.29,0.24832153,-0.043334961
1.3,0.15653992,-0.077529907
1.31,0.21598816,-0.045532227
1.32,0.23495483,-0.080108643
1.33,0.16061401,-0.047103882
1.34,0.25549316,-0.083938599
1.35,0.18406677,-0.049331665
1.36,0.19081116,-0.071937561
1.37,0.24169922,-0.052001953
1.38,0.15505981,-0.070205689
1.39,0.22912598,-0.058303833
1.4,0.21955872,-0.072105408
1.41,0.15686035,-0.051597595
1.42,0.24612427,-0.083999634
1.43,0.15596008,-0.045684815
1.44,0.18942261,-0.084762573
1.45,0.23176575,-0.047576905
1.46,0.15463257,-0.075454712
1.47,0.24856567,-0.048622132
1.48,0.19171143,-0.075904846
1.49,0.16874695,-0.061210633
1.5,0.24411011,-0.072250366
1.51,0.15361023,-0.065170288
1.52,0.22651672,-0.072425842
1.53,0.22341919,-0.051445008
1.54,0.15623474,-0.084434509
1.55,0.24154663,-0.050758362
1.56,0.14891052,-0.086479187
1.57,0.18623352,-0.051681519
1.58,0.22079468,-0.076606751
1.59,0.14823914,-0.060531616
1.6,0.23840332,-0.079650879
1.61,0.19577026,-0.048110962
1.62,0.16267395,-0.086242676
1.63,0.24246216,-0.054992676
1.64,0.14663696,-0.089187622
1.65,0.20765686,-0.053878784
1.66,0.22763061,-0.077919007
1.67,0.14511108,-0.061859131
1.68,0.23831177,-0.076309204
1.69,0.16616821,-0.065513611
1.7,0.17077637,-0.078582764
1.71,0.22351074,-0.059585571
1.72,0.13929748,-0.087295532
1.73,0.21694946,-0.055633545
1.74,0.21482849,-0.077575684
1.75,0.14785767,-0.067565918
1.76,0.24465942,-0.080444336
1.77,0.16766357,-0.067886353
1.78,0.1708374,-0.077613831
1.79,0.22610474,-0.058486939
1.8,0.13504028,-0.089111328
1.81,0.2023468,-0.059074402
1.82,0.20916748,-0.088111878
1.83,0.1399231,-0.057495117
1.84,0.23132324,-0.095809937
1.85,0.17851257,-0.057533264
1.86,0.15606689,-0.080734253
1.87,0.22848511,-0.067436218
1.88,0.1362915,-0.082557678
1.89,0.20700073,-0.07334137
1.9,0.20797729,-0.080078125
1.91,0.14163208,-0.065284729
1.92,0.22645569,-0.091323853
1.93,0.17362976,-0.061904907
1.94,0.14614868,-0.09577179
1.95,0.22123718,-0.060920716
1.96,0.13197327,-0.082336426
1.97,0.17991638,-0.063598633
1.98,0.21957397,-0.081832886
1.99,0.13163757,-0.073707581
2,0.23069763,-0.08153534
2.01,0.18270874,-0.076271057
2.02,0.14891052,-0.082572937
2.03,0.22317505,-0.0652771
2.04,0.13342285,-0.089530945
2.05,0.16506958,-0.064872742
2.06,0.21101379,-0.093658447
2.07,0.12161255,-0.064239502
2.08,0.21717834,-0.082847595
2.09,0.18733215,-0.071975708
2.1,0.13949585,-0.082138062
2.11,0.22268677,-0.074203491
2.12,0.1362915,-0.078216553
2.13,0.16772461,-0.078300476
2.14,0.21562195,-0.092727661
2.15,0.12792969,-0.066329956
2.16,0.21078491,-0.096298218
2.17,0.18711853,-0.066238404
2.18,0.12695312,-0.097053528
2.19,0.2203064,-0.065612793
2.2,0.12844849,-0.081886292
2.21,0.15214539,-0.07788086
2.22,0.20602417,-0.084747315
2.23,0.12600708,-0.077575684
2.24,0.19967651,-0.084976197
2.25,0.19786072,-0.073387146
2.26,0.12974548,-0.086181641
2.27,0.21951294,-0.072463989
2.28,0.14755249,-0.097579956
2.29,0.13375854,-0.070686341
